date,time,zone,species,incident_type,damage_description,resolved
2025-10-09,11:30,Zone A,Buffalo,Crop Raid,Late morning cassava entry,Yes
2025-10-11,16:00,Zone C,Elephant,Crop Raid,Afternoon crop entry Zone C,Yes
2025-10-13,09:45,Zone B,Buffalo,Crop Raid,Morning field entry,Yes
2025-10-15,17:45,Zone A,Elephant,Crop Raid,Evening field boundary,No
2025-10-17,10:00,Zone C,Buffalo,Crop Raid,Morning sorghum plot,Yes
2025-10-19,13:30,Zone B,Buffalo,Crop Raid,Afternoon entry cassava,Yes
2025-10-21,16:30,Zone A,Buffalo,Crop Raid,Late afternoon field,Yes
2025-10-23,09:00,Zone C,Lion,Livestock Predation,Morning near boma,Yes
2025-10-25,11:00,Zone B,Elephant,Crop Raid,Mid-morning crop entry,Yes
2025-10-27,16:00,Zone A,Buffalo,Crop Raid,Afternoon maize boundary,Yes
2025-10-29,10:30,Zone C,Buffalo,Crop Raid,Morning sorghum field,Yes
2025-10-02,17:00,Zone C,Elephant,Crop Raid,Early evening crop,No
2025-10-04,20:00,Zone A,Buffalo,Crop Raid,Evening field entry,Yes
2025-10-06,19:30,Zone B,Elephant,Crop Raid,Evening maize plot,Yes
2025-10-08,21:00,Zone C,Buffalo,Livestock Predation,Night livestock sighting,No
2025-10-10,18:00,Zone A,Elephant,Crop Raid,Evening field boundary,No
2025-10-12,20:00,Zone B,Buffalo,Crop Raid,Night crop entry,Yes
2025-10-14,17:30,Zone C,Elephant,Crop Raid,Evening Zone C border,Yes
2025-10-16,19:00,Zone A,Buffalo,Crop Raid,Evening field,Yes
2025-10-18,21:30,Zone B,Elephant,Crop Raid,Night maize field,No
2025-10-20,18:15,Zone C,Buffalo,Crop Raid,Evening sorghum,Yes
2025-10-22,20:30,Zone A,Elephant,Crop Raid,Night crop entry,No
2025-10-24,17:00,Zone B,Buffalo,Crop Raid,Evening cassava,Yes
2025-10-26,19:45,Zone C,Elephant,Crop Raid,Evening Zone C crop,No
2025-10-28,21:15,Zone A,Buffalo,Crop Raid,Night field boundary,Yes
2025-10-30,18:30,Zone B,Lion,Livestock Predation,Evening cattle near fence,No
